代码,	 时间,	 拉升涨幅,	 拉升成交量(手),	 t+1涨幅,	 t+2涨幅,	 t+3涨幅,	 t+4涨幅,	 6日最高涨幅
SH600005,	 2015-06-30	,0.044118	,438938.000000	,0.061166	,0.012802	,-0.129445	,-0.132290	,0.061166
SH600005,	 2015-07-22	,0.039293	,324520.000000	,0.080460	,0.067050	,0.011494	,-0.074713	,0.080460
SH600006,	 2015-02-12	,0.030875	,35787.000000	,0.053782	,0.048739	,0.107563	,0.065546	,0.107563
SH600006,	 2015-09-08	,0.063786	,111811.000000	,0.070158	,0.053360	,0.017787	,0.047431	,0.070158
SH600010,	 2015-08-31	,0.111732	,757212.000000	,0.055276	,0.092965	,0.110553	,0.037688	,0.110553
SH600010,	 2015-09-01	,0.091146	,640284.000000	,0.053269	,0.070218	,0.000000	,0.026634	,0.070218
SH600012,	 2015-03-17	,0.046368	,22850.000000	,0.056972	,0.031484	,0.041979	,0.044978	,0.056972
SH600017,	 2015-11-06	,0.040377	,142141.000000	,0.089122	,0.078637	,0.058978	,0.077326	,0.089122
SH600023,	 2015-09-01	,0.038911	,204458.000000	,0.090794	,0.103405	,0.034048	,0.060530	,0.103405
SH600029,	 2015-09-02	,0.033088	,370681.000000	,0.058824	,0.002451	,0.031863	,0.034314	,0.058824
SH600033,	 2015-08-27	,0.033592	,53086.000000	,0.070000	,0.050000	,0.020000	,-0.005000	,0.070000
SH600038,	 2015-07-29	,0.076973	,19092.000000	,0.082431	,0.007822	,-0.120788	,-0.112515	,0.082431
SH600052,	 2015-08-03	,0.085000	,241839.000000	,0.057143	,0.009217	,-0.073733	,-0.078341	,0.057143
SH600057,	 2015-10-09	,0.038043	,16745.000000	,0.100352	,0.143486	,0.105634	,0.116197	,0.143486
SH600061,	 2015-08-14	,0.050207	,45817.000000	,0.066747	,0.056355	,-0.042366	,-0.094325	,0.066747
SH600061,	 2015-08-27	,0.059722	,32290.000000	,0.095675	,0.114024	,0.004587	,-0.058978	,0.114024
SH600061,	 2015-11-03	,0.045161	,36244.000000	,0.100052	,0.209953	,0.330741	,0.463971	,0.463971
SH600062,	 2015-03-12	,0.071429	,15935.000000	,0.100110	,0.203533	,0.123666	,0.104159	,0.203533
SH600067,	 2015-08-27	,0.068966	,85272.000000	,0.092545	,0.080977	,-0.003856	,-0.052699	,0.092545
SH600067,	 2015-10-19	,0.049887	,92710.000000	,0.057235	,-0.009719	,-0.022678	,-0.008639	,0.057235
SH600068,	 2015-10-20	,0.040302	,109547.000000	,0.054612	,-0.029126	,-0.014563	,-0.003641	,0.054612
SH600070,	 2015-02-27	,0.049485	,24866.000000	,0.053412	,0.035608	,0.033630	,0.033630	,0.053412
SH600081,	 2015-07-22	,0.061628	,10734.000000	,0.076620	,0.059155	,0.027606	,-0.064789	,0.076620
SH600081,	 2015-08-27	,0.047458	,28075.000000	,0.099784	,0.198490	,0.094391	,0.027508	,0.198490
SH600081,	 2015-09-11	,0.071222	,17636.000000	,0.100000	,-0.062842	,-0.039344	,0.047541	,0.100000
SH600082,	 2015-09-08	,0.032819	,15981.000000	,0.050943	,0.041509	,0.032075	,0.041509	,0.050943
SH600088,	 2015-06-29	,0.047636	,11444.000000	,0.085256	,0.115680	,-0.030425	,-0.090939	,0.115680
SH600094,	 2015-05-07	,0.036836	,11394.000000	,0.065230	,0.118229	,0.157833	,0.211998	,0.211998
SH600094,	 2015-05-08	,0.046498	,18932.000000	,0.067853	,0.105673	,0.157397	,0.189655	,0.189655
SH600096,	 2015-08-14	,0.056446	,45077.000000	,0.077632	,0.052632	,-0.019737	,-0.069079	,0.077632
SH600105,	 2015-05-08	,0.048780	,17161.000000	,0.064723	,0.060058	,0.140525	,0.254810	,0.254810
SH600105,	 2015-06-09	,0.060099	,35362.000000	,0.079360	,0.169477	,0.255814	,0.190116	,0.255814
SH600105,	 2015-08-27	,0.059429	,16601.000000	,0.100223	,0.091314	,-0.023756	,-0.028211	,0.100223
SH600105,	 2015-09-02	,0.043089	,28791.000000	,0.077551	,0.151837	,0.217959	,0.222857	,0.222857
SH600108,	 2015-09-02	,0.034535	,80094.000000	,0.095238	,0.095238	,0.125000	,0.111607	,0.125000
SH600110,	 2015-05-05	,0.046804	,141639.000000	,0.060738	,0.016269	,-0.057484	,0.001085	,0.060738
SH600111,	 2015-09-15	,0.045381	,36342.000000	,0.097656	,0.091406	,0.042969	,0.049219	,0.097656
SH600112,	 2015-11-25	,0.053258	,82687.000000	,0.100054	,0.158150	,0.178053	,nan	,0.178053
SH600113,	 2015-11-30	,0.057606	,14617.000000	,nan	,nan	,nan	,nan	,nan
SH600114,	 2015-09-18	,0.054484	,17752.000000	,0.050162	,0.049353	,0.105987	,0.095469	,0.105987
SH600115,	 2015-08-27	,0.063492	,275962.000000	,0.088195	,0.082768	,0.082768	,0.149254	,0.149254
SH600115,	 2015-09-01	,0.037958	,231308.000000	,0.078981	,0.091720	,0.070064	,0.114650	,0.114650
SH600116,	 2015-11-12	,0.037124	,29288.000000	,0.079208	,0.029703	,0.062900	,0.054164	,0.079208
